MYLIP_HUMAN MYLIP
TFE2_HUMAN TCF3
RFC2_HUMAN RFC2
RPGF2_HUMAN RAPGEF2
PSMD4_HUMAN PSMD4
RIOK1_HUMAN RIOK1
CEP68_HUMAN CEP68
PHLP1_HUMAN PHLPP1
ENOA_HUMAN ENO1
UVRAG_HUMAN UVRAG
TRI25_HUMAN TRIM25
ZNRF2_HUMAN ZNRF2
Q08AJ9_HUMAN HIST1H2AB
PML_HUMAN PML
FGFR4_HUMAN FGFR4
TGIF1_HUMAN TGIF1
RRAGA_HUMAN RRAGA
TBG1_HUMAN TUBG1
SRC_HUMAN SRC
AIFM1_HUMAN AIFM1
GIPR_HUMAN GIPR
ACACA_HUMAN ACACA
MAGA6_HUMAN MAGEA6
MRP1_HUMAN ABCC1
KLF10_HUMAN KLF10
FCG2A_HUMAN FCGR2A
DUS1_HUMAN DUSP1
STK36_HUMAN STK36
MYC_HUMAN MYC
EPS15_HUMAN EPS15
ANXA6_HUMAN ANXA6
CASP3_HUMAN CASP3
NLRP3_HUMAN NLRP3
TRI23_HUMAN TRIM23
FINC_HUMAN FN1
ELOF1_HUMAN ELOF1
TFR1_HUMAN TFRC
BARD1_HUMAN BARD1
MUTYH_HUMAN MUTYH
SHIP2_HUMAN INPPL1
RN114_HUMAN RNF114
RASF1_HUMAN RASSF1
SGK1_HUMAN SGK1
BI1_HUMAN TMBIM6
EGLN2_HUMAN EGLN2
XBP1_HUMAN XBP1
GCR_HUMAN NR3C1
RAF1_HUMAN RAF1
RIPK2_HUMAN RIPK2
RNT2_HUMAN RNASET2
NFKB2_HUMAN NFKB2
SOX9_HUMAN SOX9
TCPD_HUMAN CCT4
RIR2B_HUMAN RRM2B
A16L1_HUMAN ATG16L1
CENPI_HUMAN CENPI
DPOLB_HUMAN POLB
WEE1_HUMAN WEE1
ITPR3_HUMAN ITPR3
OTU6B_HUMAN OTUD6B
SRBP1_HUMAN SREBF1
TBX6_HUMAN TBX6
DTBP1_HUMAN DTNBP1
GLYM_HUMAN SHMT2
LG3BP_HUMAN LGALS3BP
ODFP2_HUMAN ODF2
SPHK2_HUMAN SPHK2
ADRB2_HUMAN ADRB2
B2L11_HUMAN BCL2L11
EIF3F_HUMAN EIF3F
MPIP1_HUMAN CDC25A
IL2RG_HUMAN IL2RG
MED15_HUMAN MED15
ETS1_HUMAN ETS1
NED4L_HUMAN NEDD4L
CXA1_HUMAN GJA1
NF2L2_HUMAN NFE2L2
PTPA_HUMAN HIST1H2AB
ANLN_HUMAN ANLN
TRIM5_HUMAN TRIM5
BECN1_HUMAN BECN1
UBP18_HUMAN USP18
DVL3_HUMAN DVL3
TNR16_HUMAN NGFR
MD1L1_HUMAN MAD1L1
PIAS1_HUMAN PIAS1
RN138_HUMAN RNF138
8ODP_HUMAN NUDT1
EPHA8_HUMAN EPHA8
UBP1_HUMAN USP1
TYY1_HUMAN YY1
DAPLE_HUMAN CCDC88C
N4BP1_HUMAN N4BP1
CGAS_HUMAN CGAS
FLNA_HUMAN FLNA
SOSB1_HUMAN NABP2
ELL2_HUMAN ELL2
MYLIP_HUMAN MYLIP
HOIL1_HUMAN RBCK1
TERF1_HUMAN TERF1
CSF3R_HUMAN CSF3R
SOX2_HUMAN SOX2
PO2F1_HUMAN POU2F1
CLSPN_HUMAN CLSPN
HSF1_HUMAN HSF1
MOES_HUMAN MSN
STX1A_HUMAN STX1A
GEMI_HUMAN GMNN
TIGAR_HUMAN TIGAR
NOD1_HUMAN NOD1
TTYH2_HUMAN TTYH2
NEK2_HUMAN NEK2
CD3D_HUMAN CD3D
AKT2_HUMAN AKT2
RN125_HUMAN RNF125
MYPC3_HUMAN MYBPC3
RIOK3_HUMAN RIOK3
BORA_HUMAN BORA
VLDLR_HUMAN VLDLR
RN216_HUMAN RNF216
ITA5_HUMAN ITGA5
H2A1H_HUMAN HIST1H2AH
FOXM1_HUMAN FOXM1
BRMS1_HUMAN BRMS1
LGR4_HUMAN LGR4
STAT6_HUMAN STAT6
HBP1_HUMAN HBP1
TRI22_HUMAN TRIM22
FBXW7_HUMAN FBXW7
RL26_HUMAN RPL26
VAMP3_HUMAN VAMP3
DDB2_HUMAN DDB2
MCL1_HUMAN MCL1
MAGA3_HUMAN MAGEA3
RAP1B_HUMAN RAP1B
AQP2_HUMAN AQP2
PTPA_HUMAN PTPA
OPA1_HUMAN OPA1
NR1D1_HUMAN NR1D1
KIF22_HUMAN KIF22
RNF13_HUMAN RNF13
BRCA2_HUMAN BRCA2
UBQL1_HUMAN UBQLN1
SNAI1_HUMAN SNAI1
SMCA4_HUMAN SMARCA4
HSP74_HUMAN HSPA4
INF2_HUMAN INF2
ANX13_HUMAN ANXA13
EGFR_HUMAN EGFR
CCS_HUMAN CCS
CDC42_HUMAN CDC42
CCNB1_HUMAN CCNB1
ATX1_HUMAN ATXN1
PTTG1_HUMAN PTTG1
ANDR_HUMAN AR
RIPK4_HUMAN RIPK4
H2A1J_HUMAN HIST1H2AJ
NFS1_HUMAN NFS1
CP131_HUMAN CEP131
CASP7_HUMAN CASP7
COPT1_HUMAN SLC31A1
MARE2_HUMAN MAPRE2
BCL10_HUMAN BCL10
GUCD1_HUMAN GUCD1
